book,lesson,unit_title,title,full_text,summary,key_expressions,key_expression_korean,target_expression,theme,reading_task,quiz,answer,further_reading_title,further_reading_text
공통영어2,Lesson1,1과 Be Digitally Smart!,Warning: Fake News Alert!,"Warning: Fake News Alert!
While scrolling through her social media one day, Gina was
astonished when she saw the news headline, “The Heundeulbawi
in Seoraksan National Park Has Fallen.” Gina immediately shared
the shocking story with her close friends. Later, during the
morning news on TV, a reporter standing next to the undamaged
Heundeulbawi said, “Today’s Internet stories of the Heundeulbawi
being damaged were fake.” Gina was embarrassed by the fact that
she had spread the fake news.
It reminded her of another incident of fake news that had
happened a while ago. The news that a famous athlete had died
became the number one issue online, but it turned out to be fake. It
had been made by content creators who sought people’s attention.
They produced provocative false stories to make money by raising
the number of views of their posts. At that time, Gina criticized
those who had made and spread fake news because it had hurt the
athlete and confused people. This time, however, Gina herself had
accidentally contributed to the spread of fake news.
The Impact of Fake News on Society
Unfortunately, becoming an accidental distributor of fake
news like Gina is not unusual. Fake news is a deliberate attempt to
manipulate people by spreading inaccurate information. It is made
by certain groups with the intention of attracting people’s attention,
making profits, or gaining political benefits. It can confuse people,
disturb society, and even seriously harm the public as well as all
individuals involved.
It is very common for fake news to spread during states of
emergency. For example, after an earthquake measuring 6.5 struck
Ambon, Indonesia, in September 2019, thousands of residents did
not return to their homes and were still in shelters for two weeks.
This was because of fake news stories on social media that another
earthquake followed by a tsunami was about to strike. One of those
messages said, “It’s up to you if you want to believe me or not, but
apparently Ambon is going to sink in the next few days.” Many displaced people were so anxious about aftershocks that the government had to announce that the information was fake.
The Reasons for the Viral Spread of Fake News
Fake news on social media spreads significantly farther and
faster than true stories. A study by the Massachusetts Institute of
Technology in the US has shown that fake news spreads online 6
times faster than real news on average.
One explanation for this phenomenon is that people like new
and provocative things. When information is astonishing, people
not only feel that it is surprising, but they also want to share the
stimulating news with others. By passing it to others on social
media, they can gain attention because they are the first to post
previously unknown, but possibly false, information. Also, fake news
goes viral because people in their daily lives tend to think simply
and effortlessly. It is more likely for them to believe new information
without any proof, instead of critically examining it.
Moreover, people are inclined to believe information that fits
their prejudices or experiences even when not true. In this process,
people easily fall into the trap of “confirmation bias.” That is, they
selectively accept news in a way that only confirms their beliefs
and ignore news that doesn’t support them.
During election season, for example, people tend to blindly believe any news describing their favored candidates in a positive way,
while unconsciously believing news that reports something negative about other candidates.
Ways to Spot and Avoid Fake News
With so much information on the Internet, how can you make
sure that fake news does not mislead you? First, read beyond the
provocative headlines. They can be so stimulating to get more clicks
that you may click on them accidentally. So don’t just read the
headlines, but read the text carefully. Second, don’t read the news
at face value. Exercise critical thinking skills to judge the news.
You should question, analyze, and evaluate what you read. Third,
examine your biases. Consider if your own beliefs could affect your
judgment. Ask yourself if you are only reading articles that suit
your opinion, and look for articles that oppose your opinion as well.
Finally, check the credibility of the source. You should examine who
wrote the news story and what the intent was behind writing the
news story. You also need to check whether the news story is from a reliable media source and the evidence is valid.
In the digital age, it might be impossible to avoid or eliminate
all false information that spreads online. However, if you have the
ability to view information critically and objectively, you will be
able to reduce the damage that fake news can cause. Don’t forget!
Anyone can be the next person producing or spreading fake news!
Further Reading
Breaking Out of the Echo Chamber
These days, everyone accesses the news through the Internet
or social media, and often selectively takes the information that
suits their tastes or beliefs. However, consistently encountering
similar perspectives without considering alternative views can lead
you to be trapped in an “echo chamber.” An echo chamber refers
to an enclosed space where sound doesn’t leak out and returns
as an echo. The term “echo chamber” is also used to describe any
situation in which you only hear opinions you already agree with.
This can distort your understanding of reality, and limit your ability
to think critically and engage in meaningful debates. Worse still,
an echo chamber may foster social division, making collaboration
on common issues challenging. To avoid falling into this trap, you
must actively seek diverse sources of information and engage with
people who have different views. Always remember to check the
information you receive, and keep an open mind when discussing
new ideas. Even if you really want something to be true, it doesn’t
always mean that it is true.","The text explains what fake news is, why it spreads quickly, and how people can spot and avoid it through critical thinking and source checking.",fake news; social media; spread fake news; accidental distributor; deliberate attempt; inaccurate information; go viral; confirmation bias; read beyond the headlines; check the credibility of the source,,fake news,media literacy / critical thinking,교과서를 보며 가짜 뉴스가 빠르게 퍼지는 이유와 예방법을 찾아보세요.,Why does fake news often spread quickly?,"Because it is often new, provocative, and easily shared online.",Breaking Out of the Echo Chamber,"These days, everyone accesses the news through the Internet or social media, and often selectively takes the information that suits their tastes or beliefs. However, consistently encountering similar perspectives without considering alternative views can lead you to be trapped in an “echo chamber.” An echo chamber refers to an enclosed space where sound doesn’t leak out and returns as an echo. The term “echo chamber” is also used to describe any situation in which you only hear opinions you already agree with. This can distort your understanding of reality, and limit your ability to think critically and engage in meaningful debates. Worse still, an echo chamber may foster social division, making collaboration on common issues challenging. To avoid falling into this trap, you must actively seek diverse sources of information and engage with people who have different views. Always remember to check the information you receive, and keep an open mind when discussing new ideas. Even if you really want something to be true, it doesn’t always mean that it is true."
공통영어2,Lesson2,2과 Urgent call from earth,Dry,"Dry
The kitchen tap makes strange sounds. It coughs. It spits once, and then goes silent.
“Mom,” I shout out into the living room, “water is not coming out.”
“Alyssa, shush!” Mom says.
She is watching the TV, where a news anchor is talking about the “flow crisis.” This is what the media has been calling the drought ever since people got tired of hearing the word “drought.” Now the crisis is entering a new stage. We have no running water out of the tap.
“To the mall!” says Uncle Basil. My little brother Garrett and I jump in Uncle’s truck.
As we pull into the parking lot, we can see the crowd.
“You two go in. I’ll meet you inside,” Uncle Basil says.
Inside it’s like Black Friday at its worst ― but today it’s not televisions and video games people are after. What I see in the carts in the checkout line are mostly water bottles. The essentials of life.
There is a look of impatience on the faces of the people in line. There is even hostility, hidden by a thin layer of politeness. Even that politeness is stretched thin.
As I approach the back of the store for water bottles, I realize I am too late. The shelves are already empty.
I manage my way to the side aisle, trying my luck. Sometimes people place unwanted items in the wrong shelves. Lucky! I find a single case of water that someone abandoned there maybe yesterday, when it wasn’t such a precious commodity.
I reach for it, only to find it pulled away at the last second by a woman. She stacks it on top of her cart like a crown on top of her canned goods.
“I’m sorry, but we were here first,” she says. And then her daughter steps forward ― a girl I recognize from soccer ― Hali Hartling. As her mother pulls their cart away, Hali leans closer to me. “I’m sorry about that, Alyssa.”
“Didn’t I share my water with you at the practice last week?” I point out to her. “Maybe you could return the favor and share a few bottles with me.”
She looks back to her mother, who’s already moving down the aisle, then turns back to me shaking her head. And then she gets a little bit red in the face, and turns to leave before it becomes a deep flush.
I look for Garrett, whom I find in the frozen aisle. Then I see something. Just past the frozen vegetables and ice cream, there is a case packed with ice. I open the door and reach for a bag.
“What are you doing? We need water, not ice,” he reminds me.
“Ice is water. Just help me,” I tell him.
Garrett and I put one bag of ice after another into our cart, until it is piled as high as it can get. By now other people have taken notice and begin to empty the ice case.
The cart is ridiculously heavy now, and almost impossible to push. Then, a man in a business suit comes up behind us. He smiles.
“Looks like you could use some help.” He doesn’t wait for us to answer before grabbing the cart’s handle.
“Thank you for helping us,” I tell him.
“Not a problem. We all need to help one another.” He smiles again, and I return the smile. It is good to know that difficult times can bring out the best in people. I decide that one favor deserves another.
“Why don’t you take a bag of ice for yourself,” I suggest.
His smile does not fade. “I have a better idea,” he says. “Why don’t you take a bag of ice for yourselves, and I’ll keep the rest.”
For a moment I think he is joking, but then realize he is serious.
“Excuse me?”
He is still smiling, but his eyes scare me. As long as his hands are firmly locked on the handle of our cart, there is nothing to prove that it’s ours and not his.
“Is there a problem here?”
It is Uncle Basil. He has arrived just in time.
“Not at all.”
The man looks at the ice with a bitter face, then leaves.
*The above is a shortened version of the opening of the novel Dry (2018). It tells the story of a girl who has to make tough choices for her family during a disastrous California drought. Her unwanted adventure ends when the water supply resumes and life is back to normal. Provided that the factors contributing to water shortages worldwide are not addressed, including climate change, population growth, and using too much water for agriculture, it is possible that this story can become a reality.
Further reading
Hunger Stones
In the summer of 2022, during the worst drought in 500 years in Europe, a stone known as a “hunger stone” was found in a Czech town along the Elbe River. The stone had a sentence written on it that read: “If you see me, then cry.”
The hunger stones, found in rivers across central Europe, typically remain underwater. However, when droughts occur and water levels retreat, these stones become visible. The stones are significant because they bear records of the past severe droughts. Droughts cause reduced harvests, food shortages, and hunger, especially for the poor. The words on the hunger stones are believed to warn of these hardships and to urge people to be prepared.
Considering the continuation of climate change, experts warn that the situation we face is not just a simple, occasional drought but a severe drought that could persist for decades. The United Nations has predicted that by 2050, 75 percent of the global population could suffer from the effects of drought unless significant action is
taken to address climate change.","The text presents a drought crisis through a story about a family searching for water. It shows how water shortages can create fear, conflict, and difficult choices.",flow crisis; running water; water bottles; essentials of life; stretched thin; precious commodity; return the favor; difficult times; bring out the best in people; water supply resumes,,water shortage,environment / drought,교과서를 보며 물 부족 상황에서 인물들이 어떻게 행동하는지 찾아보세요.,What caused the crisis in the story?,A severe drought and lack of running water.,Hunger Stones,"In the summer of 2022, during the worst drought in 500 years in Europe, a stone known as a “hunger stone” was found in a Czech town along the Elbe River. The stone had a sentence written on it that read: “If you see me, then cry.” The hunger stones, found in rivers across central Europe, typically remain underwater. However, when droughts occur and water levels retreat, these stones become visible. The stones are significant because they bear records of the past severe droughts. Droughts cause reduced harvests, food shortages, and hunger, especially for the poor. The words on the hunger stones are believed to warn of these hardships and to urge people to be prepared. Considering the continuation of climate change, experts warn that the situation we face is not just a simple, occasional drought but a severe drought that could persist for decades. The United Nations has predicted that by 2050, 75 percent of the global population could suffer from the effects of drought unless significant action is taken to address climate change."
공통영어2,Lesson3,3과 Rise Above Challenges,Resilience: The Power to Overcome,"Resilience: The Power to Overcome
No life is free from problems. Whatever life path we choose,
we all experience adversity. This can take the form of illness,
accidents, failure in exams, family and relationship issues, or other
stresses. To cope, we all need the ability to overcome difficulties,
which is known as resilience. Resilience means springing back,
just like a bouncy ball after hitting the ground. If you are resilient,
you can bounce back and recover quickly from the hard times you
experience. Furthermore, you learn and grow from adversity. So,
resilience is the ability to handle, recover from, and benefit from
difficult life events.
There are countless stories of successful
people who not only survived adversity but
used it as a stepping stone to growth. Fairy
tale writer Hans Andersen said that his childhood poverty, the early
loss of his father, and his experience of being disrespected were
the sources for his most popular stories. “The hardship was a real
blessing that inspired me to write stories like The Little Match Girl,
The Snow Queen, and The Ugly Duckling.” Athlete Aimee Mullins
also saw her challenges as an opportunity. She was born with a
medical condition that resulted in losing both legs beneath the knee
to surgery. She competed against athletes without disabilities in a
national competition and participated in the Paralympics in 1996.
Her career also includes modeling, acting, and public speaking. She
says her physical condition is not a disability but the very thing that
opened the door for her amazing potential. Both people succeeded
not “despite” adversity but thanks to it. This is the real bouncing
back.
You might think “Hey, these are exceptional people.” However,
we are all born with the potential for resilience. Just like these
people, we all can develop the strength to quickly recover from
a crisis that could otherwise cause lasting damage to our mental
health. The good news is that resilience is like a muscle. You can
build it up through practice, by developing thoughts, behaviors, and
habits that allow you to recover from painful or stressful events.
Here are three basic strategies to build up this “resilience muscle.”
Three Basic Strategies to Build Up Your “Resilience Muscle”
First, accept and respect adversity as a natural part of life. This
doesn’t mean being passive, but understanding that some changes in
life can cause suffering or stress. Then, instead of feeling singled out and thinking, “Why me?”, you can face whatever happens and focus on what you can change, not what you can’t. Embracing challenges and unexpected obstacles in your life can help you confront them as a learning process. Think of all the success stories that could never have happened without adversity!
Second, have “me time,” that is, personal time to look after
yourself. Take a break and be in the present moment, neither
regretting the past nor worrying about the future. Walk, meditate,
write, draw, listen to music, or exercise. If you don’t know where
to start, the STOP technique can be a great meditative technique. It
works like this.
Stop whatever you are doing.
Take a few deep breaths.
Observe your emotions and thoughts as they are, not
judging them as good or bad.
Proceed with what you were doing. Or start something
different based on what you observed. Now go forward
with your life.
Third, be connected. Allow yourself to ask for help from people
whom you can trust, such as friends, family members, or counselors.
Talking about your issues with someone can help you see your
situation with more clarity and respond to it with more strength.
Good communication helps resilience. This is the reason why resilient people tend to create good support networks.
I am not saying that these strategies are easy or remove all stress
and suffering. Still, I urge you to practice them whenever you can,
particularly when you are under stress. Remember that there is
no better time to build your “resilience muscle” than the moment
when you are in the middle of adversity and uncertainty. Practicing
resilience during tough times helps you endure and grow stronger.
However, you can also apply these strategies to everyday small
stresses or minor challenges. Then you will gradually become more
able to deal with big ones. Resilient people tend to be happier and more fulfilled because they are less afraid of failing or challenges. So, building resilience is the key not only to overcoming adversity but also to living a happy life.
Further Reading
Growth Mindset
Our mindset, or way of thinking, affects our ability to deal with
life’s challenges. Psychologists say there are two main mindsets:
“fixed” and “growth.”
For people with a fixed mindset, failure just shows that their
intelligence, abilities, and talents are limited. They may think,
for example, “I’ve never been good at writing. I’ll never be a good
writer.” Therefore, they stay in their comfort zone, where they
won’t be challenged. They tend to reject even constructive criticism.
Also, other people’s success makes them feel defeated and lose
confidence.
Meanwhile, people with a growth mindset accept life’s
challenges. For them, failure is an opportunity. They may think, for example, “I can still learn and practice writing skills until I can write a great story.” They can learn from criticism, ask for advice, and be inspired by other people’s success. A growth mindset empowers people to feel more comfortable about their imperfections and
overcome crises or mistakes more easily.
Experts say that we can develop a growth mindset through practice. Whenever you feel “It’s impossible. I’d rather give up,” why don’t you train yourself to say, “I still want to try. I can learn how to make it possible”?","The text defines resilience as the ability to recover from adversity. It introduces examples and strategies such as accepting adversity, having me time, and staying connected.",resilience; springing back; bounce back; recover quickly; stepping stone to growth; resilience muscle; accept adversity; me time; STOP technique; support networks,,resilience,mindset / personal growth,교과서를 보며 회복탄력성을 기르는 세 가지 전략을 찾아보세요.,What is resilience?,"The ability to handle, recover from, and benefit from difficult life events.",Growth Mindset,"Our mindset, or way of thinking, affects our ability to deal with life’s challenges. Psychologists say there are two main mindsets: “fixed” and “growth.” For people with a fixed mindset, failure just shows that their intelligence, abilities, and talents are limited. They may think, for example, “I’ve never been good at writing. I’ll never be a good writer.” Therefore, they stay in their comfort zone, where they won’t be challenged. They tend to reject even constructive criticism. Also, other people’s success makes them feel defeated and lose confidence. Meanwhile, people with a growth mindset accept life’s challenges. For them, failure is an opportunity. They may think, for example, “I can still learn and practice writing skills until I can write a great story.” They can learn from criticism, ask for advice, and be inspired by other people’s success. A growth mindset empowers people to feel more comfortable about their imperfections and overcome crises or mistakes more easily. Experts say that we can develop a growth mindset through practice. Whenever you feel “It’s impossible. I’d rather give up,” why don’t you train yourself to say, “I still want to try. I can learn how to make it possible”?"
공통영어2,Lesson4,4과 Creative Ideas for a Better World,Science for All,"Science for All
Microscopes have been an essential tool for science for over
400 years. If microscopes had not been invented, we might not
have discovered bacteria or the microscopic structures of living
organisms. In certain areas of the world, however, even basic
light microscopes are not accessible due to their cost. It was the
Foldscope that Manu Prakash and Jim Cybulski presented as
a solution to the problem. The Foldscope, a paper microscope
they invented, achieved powerful magnification, and cost less than a dollar in parts. “The idea has been to make science accessible
to everybody,” said Prakash.
While researching methods for identifying infectious diseases
in Thailand in 2011, Prakash came across an expensive microscope
that was meant for malaria testing but was unused. Malaria takes
over half a million lives annually, so early diagnosis is crucial in
preventing its spread. But then, why was the microscope sitting
unused?
Prakash found that there were multiple reasons. The microscope
was bulky and awkward to transport, required training to operate,
and was difficult to maintain. As it was a delicate and expensive
instrument, even trained lab workers felt nervous about using it.
Prakash began wondering. A cheap, strong microscope could save
thousands of lives. After he returned to Stanford University, where
he was a professor, he started to reflect on the idea.
It was not until he met Jim Cybulski that his idea of an affordable and accessible microscope began to take shape. A graduate
student at Stanford, Cybulski was looking for ways to apply his engineering background to make a difference in the real world. After
hearing Prakash’s vision, Cybulski quickly recognized its potential and was eager to contribute.
For a microscope to function properly, it
must meet certain minimum requirements.
These include an eyepiece, a tube through
which the viewer looks, and a lens for
magnification. The microscope must
also have a component that can hold
a specimen and move from side to
side to explore different areas of the
specimen. Furthermore, a mechanism to bring the specimen into
focus, usually accomplished by moving it closer to or farther from
the lens, is necessary. Finally, a light source is required to illuminate
the specimen.
An ideal microscope would be made with the best performing
materials and mechanisms for each component. However, such
a microscope would likely be enormously expensive. On the
other hand, a cheap microscope may not be able to deliver high
performance. Prakash and Cybulski experimented with various
designs and materials in order to find a suitable compromise.
While many manufacturers might have settled for a middle
ground between these two extremes, Prakash and Cybulski were
determined to create a microscope that was both inexpensive and
high-performing, while remaining accessible to all.
After drawing various designs on paper, Prakash and Cybulski
realized that paper could be an excellent medium for their
microscope. It was cheap, easy to cut and fold with precision, and
widely available. They faced many challenges during their attempts
to develop the perfect design. Ultimately, they settled on waterproof
cardboard paper with a small glass ball lens and named their
invention the Foldscope.
The Foldscope provides a magnification of 140 times, making
it capable of examining blood cells, bacteria, and single-celled
organisms. It is incredibly portable, weighs just 8 grams, fits easily
in a pocket, and requires no external power source. Moreover, the
Foldscope is built to last, capable of surviving a three-story fall.
Its usefulness is further enhanced by its compatibility with phone
cameras, allowing users to take pictures and record images of the
specimen. It is also possible to project a high-resolution image on
a wall using the phone light. It is no surprise that over 1.8 million
Foldscopes have been distributed in over 160 countries, making it
an invaluable tool for scientists worldwide.
The Foldscope has been utilized for various purposes beyond
malaria diagnosis. In Nigeria, it has also been instrumental in
detecting fake antimalarial drugs. The drugs are responsible for
over 100,000 deaths annually in sub-Saharan Africa, mostly among
children under five. When crushed into powder and examined
under a Foldscope, real drugs appear as uniform particles, while
fake drugs appear as mere powder. Furthermore, over 400 scientific
papers have been published using Foldscope data, and around 1,200
projects are currently in progress in India. In the United States,
Foldscope programs in public libraries have introduced many
children to the wonders of science. If Prakash and Cybulski had
given up on their idea of the Foldscope, these achievements could
not have occurred.
As billions of people lack access to health care and thousands of
preventable deaths occur, science is playing a crucial role in finding
solutions to these challenges. Tools like the Foldscope, which
make science accessible to everyone, are becoming increasingly
important.
Further Reading
Helping Hands
Whenever a new technology emerges, there are people who
want to use it for the benefit of the community rather than just for
themselves. When 3D printing began to be more affordable, some
scientists and engineers wanted to use this technology to create
artificial arms and legs for people who could not afford to
buy the traditional ones. In 2014, a global community of volunteers was established for this purpose. They create artificial hands and arms for children and adults at a very low cost. They also allow anyone to access their website and download the codes for free to create hands and arms on their own using 3D printing technology. They provide resources and training, too. Scientists’ efforts to use science and technology for the benefit of people are now expanding
to include animals. Recently they have used 3D printing technology to design artificial legs for animals.","The text introduces the Foldscope, a low-cost paper microscope. It explains how accessible science tools can help solve health and education problems around the world.",essential tool; accessible to everybody; infectious diseases; early diagnosis; make a difference; take shape; minimum requirements; suitable compromise; waterproof cardboard paper; invaluable tool,,Foldscope,science / technology for society,교과서를 보며 Foldscope의 특징과 사회적 의미를 찾아보세요.,Why is the Foldscope important?,Because it makes science accessible at a very low cost.,Helping Hands,"Whenever a new technology emerges, there are people who want to use it for the benefit of the community rather than just for themselves. When 3D printing began to be more affordable, some scientists and engineers wanted to use this technology to create artificial arms and legs for people who could not afford to buy the traditional ones. In 2014, a global community of volunteers was established for this purpose. They create artificial hands and arms for children and adults at a very low cost. They also allow anyone to access their website and download the codes for free to create hands and arms on their own using 3D printing technology. They provide resources and training, too. Scientists’ efforts to use science and technology for the benefit of people are now expanding to include animals. Recently they have used 3D printing technology to design artificial legs for animals."
